question,answer
建议所有高血压患者减少钠盐摄入，推荐钠摄入量<2克/天（即氯化钠<5克/天）。,正确
对肾功能良好的高血压患者，推荐选择低钠富钾替代盐。,正确
为降低血压，建议高血压患者服用钾补充剂（药物）。,错误
得舒饮食（DASH饮食）富含蔬菜水果、低脂乳制品，减少饱和脂肪和胆固醇摄入，可有效降低血压。,正确
中国心脏健康饮食（CHH饮食）是一种符合中国饮食文化的高血压膳食模式，可将每日钠摄入量从6g减少到3g。,正确
对于超重或肥胖的高血压患者，建议通过综合生活方式干预控制体重，以降低血压和心血管风险。,正确
建议所有吸烟者戒烟，并尽量避免使用电子烟。,正确
高血压患者限制饮酒可使血压降低。建议不应饮酒，若饮酒需严格限量。,正确
在低、中、高强度有氧运动中，中等强度有氧运动对高血压患者的降压效果最好。,正确
对于血压控制良好的高血压患者，推荐以有氧运动为主、抗阻运动为辅的混合训练。,正确
通过认知行为治疗、正念冥想、瑜伽、深呼吸练习等方法可以减轻精神压力，有助于血压管理。,正确
健康睡眠与较低的高血压风险相关。高血压患者应保持充足睡眠（7-9小时），改善睡眠障碍。,正确
常用降压药包括CCB、ACEI、ARB、噻嗪类利尿剂、β受体阻滞剂。血管紧张素受体脑啡肽酶抑制剂（ARNI）是本次指南新增的一类常用降压药。,正确
ARNI（沙库巴曲缬沙坦）不应与ACEI联合使用，从ACEI换用ARNI时需至少间隔36小时。,正确
二氢吡啶类钙通道阻滞剂（CCB）尤其适用于老年高血压、单纯收缩期高血压、伴稳定性心绞痛及周围血管病患者。,正确
血管紧张素转换酶抑制剂（ACEI）最常见的不良反应是干咳。,正确
ACEI和ARB可以联合使用以增强降压效果和靶器官保护作用。,错误
噻嗪类利尿剂尤其适用于老年高血压、盐敏感性高血压、单纯收缩期高血压及心力衰竭患者。,正确
β受体阻滞剂尤其适用于伴快速性心律失常、心绞痛、心肌梗死后、心力衰竭的高血压患者，但不适合用于脉压明显增大的单纯收缩期高血压老年患者。,正确
盐皮质激素受体拮抗剂（MRA，如螺内酯）可作为治疗难治性高血压的联合用药选择之一。,正确
单片复方制剂（SPC）有利于提高患者服药依从性，可优先推荐。,正确
对血压≥160/100 mmHg、高于目标血压20/10 mmHg的高危/很高危患者，应起始联合降压治疗。,正确
早上服用与晚上服用降压药相比，晚上服用并不能带来更多心血管获益，因此不应常规推荐睡前服药。,正确
经肾动脉去交感神经术（RDN）适用于所有原发性高血压患者，可作为一线治疗方法。,错误
对于正常高值血压需要药物治疗者以及1级高血压患者，可考虑应用具有循证证据的中成药（如天麻钩藤颗粒），以改善症状并起到一定的辅助降压作用。,正确
高血压合并糖尿病患者，血糖控制目标为糖化血红蛋白（HbA1c）<7%。,正确
高血压患者调脂治疗的首要靶点是降低低密度脂蛋白胆固醇（LDL-C），首选他汀类药物。,正确
高血压伴有缺血性心脑血管疾病（如心肌梗死、缺血性脑卒中）的患者，推荐进行抗血小板治疗（如阿司匹林）进行二级预防。,正确
低剂量阿司匹林可用于所有高血压患者以预防心脑血管事件（一级预防）。,错误
高血压合并心房颤动（非瓣膜性）且具有血栓栓塞风险的患者，抗凝治疗应优先选择非维生素K拮抗类口服抗凝药（NOAC）。,正确
高血压患者静息心率增快的定义为诊室静息心率>80次/分。,正确
高血压伴静息心率增快患者的药物治疗，可首选β受体阻滞剂。,正确
高血压合并无症状高尿酸血症患者，建议将血尿酸长期控制在<360 μmol/L；合并痛风者，控制目标<300 μmol/L。,正确
对未接受降压治疗的白大衣性高血压患者，应进行积极的生活方式干预，无需立即启动药物治疗。,正确
隐蔽性高血压与持续性高血压一样，与靶器官损害及不良心血管结局密切相关。,正确
清晨高血压是指家庭血压测量（醒后1h内、服药前、早餐前）或动态血压监测（起床后2h内）平均值≥135/85 mmHg。,正确
夜间高血压是指24小时动态血压监测夜间平均收缩压≥120 mmHg和/或舒张压≥70 mmHg。,正确
治疗老年单纯收缩期高血压时，在控制收缩压达标的同时，应尽可能避免将舒张压降至<70 mmHg，以防止器官灌注不足。,正确
单纯舒张期高血压在年轻人和中年人中更常见，与肥胖、代谢因素相关，可增加心血管风险。,正确
65~79岁的老年人，血压≥140/90 mmHg时应考虑启动降压药物治疗。,正确
80岁及以上高龄老年人，收缩压≥150 mmHg时可考虑启动降压药物治疗。,正确
对并存衰弱等老年综合征的老年高血压患者，降压目标需个体化，衰弱患者收缩压控制应不低于130 mmHg。,正确
诊断3~15岁儿童高血压时，需根据其年龄、性别和身高，参照'中国3~17岁年龄别和身高别血压参照标准'进行判断。,正确
在儿童继发性高血压的病因中，肾脏疾病是最常见的。,正确
妊娠期高血压疾病患者，启动降压治疗的诊室血压阈值为≥140/90 mmHg。,错误
为预防子痫前期，建议具有高危因素的孕妇在妊娠12~16周开始服用小剂量阿司匹林（100-150 mg/d）。,正确
妊娠期高血压疾病患者使用降压药治疗时，应避免血压过低，血压控制水平不应低于110/70 mmHg。,错误
急性缺血性脑卒中患者，在准备进行静脉溶栓治疗时，血压应控制在<180/100 mmHg。,正确
急性脑出血患者，当收缩压>220 mmHg时，应积极使用静脉降压药物进行强化降压治疗。,正确
病情稳定的脑卒中患者，如果血压持续≥140/90 mmHg，可启动降压治疗，降压目标一般推荐为<140/90 mmHg。,正确
降压治疗对认知功能有保护作用，高血压合并认知障碍的患者仍应在可耐受的前提下进行合理的降压治疗。,正确
高血压合并稳定性冠心病的患者，降压目标推荐为<140/90 mmHg，如能耐受可降至<130/80 mmHg。,正确
高血压合并急性心肌梗死患者，若无禁忌证，应早期并长期使用β受体阻滞剂和RAS抑制剂（ACEI/ARB）。,正确
高血压合并射血分数降低的心力衰竭（HFrEF）患者，推荐的降压目标为<130/80 mmHg。,正确
高血压合并外周动脉疾病（PAD）是使用β受体阻滞剂的禁忌证。,错误
高血压合并慢性肾脏病（CKD）但无蛋白尿的患者，血压控制目标为<140/90 mmHg。,正确
高血压合并慢性肾脏病（CKD）伴有蛋白尿的患者，初始降压治疗应包括一种RAS抑制剂（ACEI或ARB）。,正确
高血压合并糖尿病的患者，降压目标推荐为<130/80 mmHg。,正确
为高血压合并肥胖的患者选择降压药时，应以不加重肥胖、糖脂代谢异常为原则。,正确
高血压合并代谢综合征的患者，降压药物可优先选择ACEI或ARB。,正确
抗肿瘤治疗相关的高血压，血压控制目标一般为<140/90 mmHg，如合并糖尿病或CKD，目标可设为<130/80 mmHg。,正确
高血压合并慢性阻塞性肺疾病（COPD）的患者，可以使用高选择性β1受体阻滞剂（如比索洛尔、美托洛尔缓释片）。,正确
为减少围手术期低血压风险，对于术前长期服用ACEI或ARB的患者，手术当日早晨应暂停服药。,正确
诊断难治性高血压，需在改善生活方式基础上，使用足量且合理的3种降压药（包括利尿剂）治疗超过1月，诊室和诊室外血压均未达标。,正确
在难治性高血压患者中，原发性醛固酮增多症的患病率可高达20%。,正确
在阻塞性睡眠呼吸暂停综合征（OSAS）患者中，有50%~80%合并高血压。,正确
非甾体抗炎药（NSAIDs）可通过引起水钠潴留、影响肾脏血流等多种机制导致血压升高或干扰降压疗效。,正确
嗜铬细胞瘤患者术前准备通常首选α受体阻滞剂（如酚苄明），若出现反射性心动过速，可加用β受体阻滞剂，但必须在α受体阻滞剂之后使用。,正确
高血压急症与高血压亚急症的根本区别在于是否伴有新近发生的或急性进行性的严重靶器官损害。,正确
基于互联网的远程血压管理是高血压管理的新模式，可作为传统门诊随访的有效补充，有助于提高血压控制率。,正确
