"question","answer"
"单片复方制剂（SPC）可提高依从性，优先推荐。","正确"
"血压≥160/100 mmHg的高危患者应起始联合治疗。","正确"
"早上与晚上服用降压药相比，晚上服药能带来更多心血管获益。","错误"
"经肾动脉去交感神经术（RDN）可用于所有难治性高血压患者。","错误"
"中医药治疗高血压可改善症状，并起到一定的辅助降压作用。","正确"
"高血压合并糖尿病患者，血糖控制目标为糖化血红蛋白（HbA1c）<7%。","正确"
"SGLT2i（如达格列净、恩格列净）在合并CKD或心力衰竭的高血压患者中，具有心肾保护作用。","正确"
"高血压患者降LDL-C治疗，首选他汀类药物。","正确"
"高血压伴有缺血性心脑血管疾病的患者，推荐进行抗血小板治疗。","正确"
"阿司匹林用于一级预防时，所有高血压患者均可使用。","错误"
"高血压合并房颤患者，优先选择使用非维生素K拮抗类口服抗凝药（NOAC）。","正确"
"高血压患者心率增快定义为诊室静息心率>80次/min。","正确"
"高血压伴心率增快患者首选β受体阻滞剂。","正确"
"高血压合并高尿酸血症患者，血尿酸控制目标<360 μmol/L，痛风者<300 μmol/L。","正确"
"白大衣性高血压是指诊室血压升高而诊室外血压正常，无需治疗。","错误"
"隐蔽性高血压与靶器官损害及不良结局密切相关，需筛查和干预。","正确"
"清晨高血压定义为家庭或动态血压清晨≥135/85 mmHg。","正确"
"夜间高血压定义为动态血压夜间平均收缩压≥120 mmHg和/或舒张压≥70 mmHg。","正确"
"老年单纯收缩期高血压（ISH）患者，应尽可能避免将舒张压降至<70 mmHg。","正确"
"互联网医疗在高血压管理中可提高血压控制率，是传统方法的补充。","正确"
