"question","answer"
"高血压合并糖尿病时，在降压治疗和综合管理上有哪些特别需要注意的方面？","降压目标更严格（<130/80 mmHg）；药物首选RAS抑制剂（ACEI/ARB）；常需联合CCB或利尿剂。综合管理：血糖控制（HbA1c<7%）；无论血糖是否达标，合并ASCVD高危或CKD/心衰者，应使用SGLT2i或GLP-1RA；积极调脂治疗；定期评估UACR、eGFR。（依据：要点5H、5I及8.7节）"
"高血压患者为何需要进行调脂治疗？降脂治疗的目标和药物选择原则是什么？","原因：高血压常合并血脂异常，显著增加ASCVD风险。目标：根据ASCVD危险分层确定LDL-C目标（如已发生ASCVD者<1.4 mmol/L且下降≥50%）。药物选择：首选他汀；不达标可加依折麦布；仍不达标可联用PCSK9抑制剂；甘油三酯显著升高时用贝特类或Omega-3。（依据：要点5I及5.3.2节）"
"哪些高血压患者需要考虑进行抗血小板治疗？使用时需注意哪些问题？","适用人群：①二级预防：合并ASCVD者；②一级预防：ASCVD高危且无高出血风险的40-70岁患者。注意事项：①血压需控制稳定（<150/90 mmHg）；②评估出血风险；③活动性溃疡、严重肝病等慎用；④不推荐用于低中危患者及年龄<40岁或>70岁者。（依据：要点5J及5.3.3节）"
"高血压合并心房颤动患者的管理要点有哪些？","①筛查（65岁以上机会性筛查）；②风险评估（CHA₂DS₂-VASc、HAS-BLED）；③抗凝治疗（优先NOAC）；④血压控制（力争达标）；⑤症状控制（室率或节律控制）；⑥病因治疗（RAS抑制剂可减少新发房颤）。（依据：要点5K及5.3.4节）"
"简述继发性高血压的常见病因。在什么情况下应怀疑继发性高血压并进行筛查？","常见病因：肾脏疾病（肾实质、肾血管）、内分泌疾病（原醛、嗜铬细胞瘤、库欣综合征）、OSAS、主动脉缩窄、药物性。怀疑线索：发病年龄<30岁或>55岁；3级或急进性高血压；对联合治疗反应差；波动性高血压伴头痛、心悸、多汗；低血钾；腹部血管杂音；影像学异常等。（依据：4.1及4.3节）"
"请阐述中医药在高血压防治中的应用定位、常用中成药及其循证依据。","定位：用于正常高值需要药物治疗者及1级高血压，改善症状、辅助降压，可联合西药。常用中成药：天麻钩藤颗粒（降低隐蔽性高血压白天血压）、松龄血脉康胶囊（不劣于氯沙坦）、养血清脑颗粒等。依据：均有临床研究证实辅助降压作用。（依据：要点5G及5.2.4节）"
"什么是血管紧张素受体脑啡肽酶抑制剂（ARNI）？它在高血压治疗中有何优势？","ARNI抑制脑啡肽酶，同时阻断血管紧张素受体，发挥利尿、利钠、扩血管、抗交感作用。优势：降压效果强于ARB，尤其适用于高血压合并心力衰竭、左心室肥厚、肾脏疾病、老年及难治性高血压。（依据：5.2.2.3节）"
"简述经肾动脉去交感神经术（RDN）的原理、适应证和注意事项。","原理：破坏肾脏交感传入和传出神经，降低全身交感活性。适应证：需排除继发性高血压，对药物难以控制或依从性差的高血压患者可考虑。注意事项：应在有丰富高血压诊治经验的科室开展；目前总体降压幅度有限，需尊重患者意愿。（依据：要点5F及5.2.3节）"
"高血压急症和亚急症如何区分？高血压急症的治疗原则是什么？","区分依据：有无新近发生的急性进行性靶器官损害。高血压急症有靶器官损害，需立即静脉降压；亚急症无靶器官损害，可口服降压药缓慢降压。治疗原则：个体化降压，保证重要脏器灌注；初始1小时内平均动脉压降低不超过25%，随后2-6小时降至160/100 mmHg左右，24-48小时逐渐降至正常。（依据：11.1及11.2节）"
"高血压患者如何进行社区规范化管理？","包括筛查与登记（首诊测血压）、初诊评估（继发性筛查、危险分层）、分级随访（每月、每季度）、健康教育、远程管理、团队建设、双向转诊。定期监测血压、危险因素和靶器官损害。（依据：第12章）"
"简述互联网医疗在高血压管理中的应用价值及研究证据。","价值：实现远程血压监测、医患互动、健康指导、药物调整，提高控制率和依从性。研究证据：荟萃分析显示远程家庭血压监测可显著降低收缩压/舒张压（平均-4.71/-2.45 mmHg），结合药师咨询等综合干预效果更佳。（依据：第13章）"
